南乡子登京口北固亭有怀,宋,辛弃疾,何处望神州，满眼风光北固楼，千古兴亡多少事，悠悠，不尽长江滚滚流，年少万兜鍪，坐断东南战未休，天下英雄谁敌手，曹刘，生子当如孙仲谋
南柯子山冥云阴重,宋,王炎,山冥云阴重，天寒雨意浓，数枝幽艳湿啼红，莫为惜花惆怅，对东风，蓑笠朝朝出，沟塍处处通，人间辛苦是三农，要得一犁水足，望年丰
南歌子天上星河转,宋,李清照,天上星河转，人间帘幕垂，凉生枕簟泪痕滋，起解罗衣聊问，夜何其，翠贴莲蓬小，金销藕叶稀，旧时天气旧时衣，只有情怀不似，旧家时
卜算子不是爱风尘,宋,严蕊,不是爱风尘，似被前身误，花落花开自有时，总赖东君主，去也终须去，住也如何住，若得山花插满头，莫问奴归处
卜算子咏梅,宋,陆游,驿外断桥边，寂寞开无主，已是黄昏独自愁，更著风和雨，无意苦争春，一任群芳妒，零落成泥碾作尘，只有香如故
卜算子咏梅,近代,毛泽东,风雨送春归，飞雪迎春到，已是悬崖百丈冰，犹有花枝俏，俏也不争春，只把春来报，待到山花烂漫时，她在丛中笑
卜算子我住长江头,宋,李之仪,我住长江头，君住长江尾，日日思君不见君，共饮长江水，此水几时休，此恨何时已，只愿君心似我心，定不负相思意
卜算子片片蝶衣轻,宋,刘克庄,片片蝶衣轻，点点猩红小，道是天公不惜花，百种千般巧，朝见树头繁，暮见枝头少，道是天公果惜花，雨洗风吹了
卜算子独自上层楼,宋,程垓,独自上层楼，楼外青山远，望以斜阳欲尽时，不见西飞雁，独自下层楼，楼下蛩声怨，待到黄昏月上时，依旧柔肠断
卜算子见也如何暮,宋,石孝友,见也如何暮，别也如何遽，别也应难见也难，后会难凭据，去也如何去，住也如何住，住也应难去也难，此际难分付
卜算子送鲍浩然之浙东,宋,王观,水是眼波横，山是眉峰聚，欲问行人去那边，眉眼盈盈处，才始送春归，又送君归去，若到江南赶上春，千万和春住
卜算子黄州定慧院寓居作,宋,苏轼,缺月挂疏桐，漏断人初静，谁见幽人独往来，缥缈孤鸿影，惊起却回头，有恨无人省，拣尽寒枝不肯栖，寂寞沙洲冷
去者日以疏,汉,佚名,去者日以疏，生者日已亲，出郭门直视，但见丘与坟，古墓犁为田，松柏摧为薪，白杨多悲风，萧萧愁杀人，思还故里闾，欲归道无因
双双燕咏燕,宋,史达祖,过春社了，度帘幕中间，去年尘冷，差池欲住，试入旧巢相并，还相雕梁藻井，又软语，商量不定，飘然快拂花梢，翠尾分开红影，芳径，芹泥雨润，爱贴地争飞，竞夸轻俊，红楼归晚，看足柳昏花暝，应自栖香正稳，便忘了，天涯芳信，愁损翠黛双蛾，日日画阑独凭
古从军行,唐,李颀,白日登山望烽火，黄昏饮马傍交河，行人刁斗风沙暗，公主琵琶幽怨多，野云万里无城郭，雨雪纷纷连大漠，胡雁哀鸣夜夜飞，胡儿眼泪双双落，闻道玉门犹被遮，应将性命逐轻车，年年战骨埋荒外，空见蒲桃入汉家
古意呈补阙乔知之,唐,沈佺期,卢家少妇郁金堂，海燕双栖玳瑁梁，九月寒砧催木叶，十年征戍忆辽阳，白狼河北音书断，丹凤城南秋夜长，谁谓含愁独不见，更教明月照流黄
古意,唐,李颀,男儿事长征，少小幽燕客，赌胜马蹄下，由来轻七尺，杀人莫敢前，须如猬毛磔，黄云陇底白雪飞，未得报恩不能归，辽东小妇年十五，惯弹琵琶解歌舞，今为羌笛出塞声，使我三军泪如雨
古朗月行,唐,李白,小时不识月，呼作白玉盘，又疑瑶台镜，飞在青云端，仙人垂两足，桂树何团团，白兔捣药成，问言与谁餐
古柏行,唐,杜甫,孔明庙前有老柏，柯如青铜根如石，霜皮溜雨四十围，黛色参天二千尺，君臣已与时际会，树木犹为人爱惜，云来气接巫峡长，月出寒通雪山白，忆昨路绕锦亭东，先主武侯同閟宫，崔嵬枝干郊原古，窈窕丹青户牖空，落落盘踞虽得地，冥冥孤高多烈风，扶持自是神明力，正直原因造化功，大厦如倾要梁栋，万牛回首丘山重，不露文章世已惊，未辞翦伐谁能送，苦心岂免容蝼蚁，香叶终经宿鸾凤，志士幽人莫怨嗟，古来材大难为用
